ID,Timestamp,Class,Category,Confidence
1,2025-11-29 13:07:27,banana_peel,Organic,0.68
2,2025-11-29 13:07:33,banana_peel,Organic,0.68
3,2025-11-29 13:07:47,banana_peel,Organic,0.86
4,2025-11-29 13:07:48,banana_peel,Organic,0.78
5,2025-11-29 13:07:48,banana_peel,Organic,0.69
6,2025-11-29 13:07:48,banana_peel,Organic,0.73
7,2025-11-29 13:07:48,banana_peel,Organic,0.68
8,2025-11-29 13:07:48,banana_peel,Organic,0.82
9,2025-11-29 13:07:48,banana_peel,Organic,0.78
10,2025-11-29 13:07:48,banana_peel,Organic,0.86
11,2025-11-29 13:07:48,banana_peel,Organic,0.82
12,2025-11-29 13:07:48,banana_peel,Organic,0.91
13,2025-11-29 13:07:48,banana_peel,Organic,0.84
14,2025-11-29 13:07:48,banana_peel,Organic,0.91
15,2025-11-29 13:07:48,banana_peel,Organic,0.83
16,2025-11-29 13:07:48,banana_peel,Organic,0.91
17,2025-11-29 13:07:48,banana_peel,Organic,0.76
18,2025-11-29 13:07:49,banana_peel,Organic,0.9
19,2025-11-29 13:07:49,banana_peel,Organic,0.76
20,2025-11-29 13:07:49,banana_peel,Organic,0.92
21,2025-11-29 13:07:49,banana_peel,Organic,0.8
22,2025-11-29 13:07:49,banana_peel,Organic,0.91
23,2025-11-29 13:07:49,banana_peel,Organic,0.86
24,2025-11-29 13:07:49,banana_peel,Organic,0.88
25,2025-11-29 13:07:49,can,Inorganic,0.84
26,2025-11-29 13:07:49,banana_peel,Organic,0.83
27,2025-11-29 13:07:49,can,Inorganic,0.91
28,2025-11-29 13:07:49,banana_peel,Organic,0.89
29,2025-11-29 13:07:49,banana_peel,Organic,0.62
30,2025-11-29 13:07:49,can,Inorganic,0.92
31,2025-11-29 13:07:49,banana_peel,Organic,0.89
32,2025-11-29 13:07:49,can,Inorganic,0.93
33,2025-11-29 13:07:49,banana_peel,Organic,0.9
34,2025-11-29 13:07:49,can,Inorganic,0.94
35,2025-11-29 13:07:49,banana_peel,Organic,0.87
36,2025-11-29 13:07:50,can,Inorganic,0.95
37,2025-11-29 13:07:50,banana_peel,Organic,0.83
38,2025-11-29 13:07:50,can,Inorganic,0.93
39,2025-11-29 13:07:50,can,Inorganic,0.92
40,2025-11-29 13:07:50,can,Inorganic,0.91
41,2025-11-29 13:07:50,can,Inorganic,0.85
42,2025-11-29 13:07:51,can,Inorganic,0.8
43,2025-11-29 13:07:51,can,Inorganic,0.82
44,2025-11-29 13:07:51,can,Inorganic,0.84
45,2025-11-29 13:07:52,can,Inorganic,0.83
46,2025-11-29 13:07:52,can,Inorganic,0.86
47,2025-11-29 13:07:52,can,Inorganic,0.83
48,2025-11-29 13:07:52,can,Inorganic,0.83
49,2025-11-29 13:07:52,can,Inorganic,0.84
50,2025-11-29 13:07:52,can,Inorganic,0.86
51,2025-11-29 13:07:52,can,Inorganic,0.91
52,2025-11-29 13:07:52,can,Inorganic,0.77
53,2025-11-29 13:07:53,can,Inorganic,0.81
54,2025-11-29 13:07:53,can,Inorganic,0.81
55,2025-11-29 13:07:53,can,Inorganic,0.91
56,2025-11-29 13:07:53,can,Inorganic,0.64
57,2025-11-29 13:07:53,can,Inorganic,0.87
58,2025-11-29 13:07:53,can,Inorganic,0.88
59,2025-11-29 13:07:53,can,Inorganic,0.67
60,2025-11-29 13:07:54,can,Inorganic,0.59
61,2025-11-29 13:07:54,can,Inorganic,0.65
62,2025-11-29 13:07:54,banana_peel,Organic,0.72
63,2025-11-29 13:07:57,banana_peel,Organic,0.86
64,2025-11-29 13:07:57,banana_peel,Organic,0.5
65,2025-11-29 13:07:57,banana_peel,Organic,0.78
66,2025-11-29 13:07:57,banana_peel,Organic,0.74
67,2025-11-29 13:07:58,banana_peel,Organic,0.79
68,2025-11-29 13:07:58,banana_peel,Organic,0.66
69,2025-11-29 13:07:58,banana_peel,Organic,0.78
70,2025-11-29 13:07:58,banana_peel,Organic,0.73
71,2025-11-29 13:07:58,banana_peel,Organic,0.86
72,2025-11-29 13:07:58,banana_peel,Organic,0.83
73,2025-11-29 13:07:58,banana_peel,Organic,0.89
74,2025-11-29 13:07:58,banana_peel,Organic,0.87
75,2025-11-29 13:07:58,banana_peel,Organic,0.91
76,2025-11-29 13:07:58,banana_peel,Organic,0.8
77,2025-11-29 13:07:58,banana_peel,Organic,0.92
78,2025-11-29 13:07:58,banana_peel,Organic,0.73
79,2025-11-29 13:07:58,can,Inorganic,0.39
80,2025-11-29 13:07:58,can,Inorganic,0.16
81,2025-11-29 13:07:58,banana_peel,Organic,0.91
82,2025-11-29 13:07:58,banana_peel,Organic,0.78
83,2025-11-29 13:07:58,can,Inorganic,0.16
84,2025-11-29 13:07:59,banana_peel,Organic,0.9
85,2025-11-29 13:07:59,banana_peel,Organic,0.83
86,2025-11-29 13:07:59,banana_peel,Organic,0.92
87,2025-11-29 13:07:59,banana_peel,Organic,0.84
88,2025-11-29 13:07:59,can,Inorganic,0.45
89,2025-11-29 13:07:59,banana_peel,Organic,0.88
90,2025-11-29 13:07:59,banana_peel,Organic,0.84
91,2025-11-29 13:07:59,can,Inorganic,0.71
92,2025-11-29 13:07:59,banana_peel,Organic,0.88
93,2025-11-29 13:07:59,can,Inorganic,0.88
94,2025-11-29 13:07:59,banana_peel,Organic,0.82
95,2025-11-29 13:07:59,can,Inorganic,0.92
96,2025-11-29 13:07:59,banana_peel,Organic,0.9
97,2025-11-29 13:07:59,banana_peel,Organic,0.24
98,2025-11-29 13:07:59,can,Inorganic,0.91
99,2025-11-29 13:07:59,banana_peel,Organic,0.9
100,2025-11-29 13:07:59,can,Inorganic,0.17
101,2025-11-29 13:07:59,can,Inorganic,0.94
102,2025-11-29 13:07:59,banana_peel,Organic,0.87
103,2025-11-29 13:08:00,can,Inorganic,0.94
104,2025-11-29 13:08:00,banana_peel,Organic,0.87
105,2025-11-29 13:08:00,can,Inorganic,0.95
106,2025-11-29 13:08:00,banana_peel,Organic,0.64
107,2025-11-29 13:08:00,can,Inorganic,0.93
108,2025-11-29 13:08:00,banana_peel,Organic,0.37
109,2025-11-29 13:08:00,can,Inorganic,0.94
110,2025-11-29 13:08:00,can,Inorganic,0.77
111,2025-11-29 13:08:00,can,Inorganic,0.87
112,2025-11-29 13:08:00,banana_peel,Organic,0.15
113,2025-11-29 13:08:00,banana_peel,Organic,0.24
114,2025-11-29 13:08:00,can,Inorganic,0.19
