ID,Timestamp,Class,Category,Confidence
1,2025-12-03 21:15:03,Plastic,Recyclable,0.57
2,2025-12-03 21:15:04,Plastic,Recyclable,0.73
3,2025-12-03 21:15:04,Plastic,Recyclable,0.52
4,2025-12-03 21:15:04,Apple,Organic,0.56
5,2025-12-03 21:15:04,Plastic,Recyclable,0.72
6,2025-12-03 21:15:04,Plastic,Recyclable,0.79
7,2025-12-03 21:15:05,Plastic,Recyclable,0.59
8,2025-12-03 21:15:05,Plastic,Recyclable,0.55
9,2025-12-03 21:15:05,Plastic,Recyclable,0.72
10,2025-12-03 21:15:05,Plastic,Recyclable,0.76
11,2025-12-03 21:15:09,Plastic,Recyclable,0.7
12,2025-12-03 21:15:09,Plastic,Recyclable,0.55
13,2025-12-03 21:15:09,Plastic,Recyclable,0.58
14,2025-12-03 21:15:18,Plastic,Recyclable,0.59
15,2025-12-03 21:15:24,styrofoam,Inorganic,0.55
16,2025-12-03 21:15:24,Plastic,Recyclable,0.5
17,2025-12-03 21:15:25,styrofoam,Inorganic,0.5
18,2025-12-03 21:15:25,styrofoam,Inorganic,0.51
19,2025-12-03 21:15:26,styrofoam,Inorganic,0.53
20,2025-12-03 21:15:27,Pear,Organic,0.51
21,2025-12-03 21:15:28,styrofoam,Inorganic,0.65
22,2025-12-03 21:15:29,styrofoam,Inorganic,0.67
23,2025-12-03 21:15:29,styrofoam,Inorganic,0.6
24,2025-12-03 21:15:29,styrofoam,Inorganic,0.51
25,2025-12-03 21:15:29,styrofoam,Inorganic,0.66
26,2025-12-03 21:15:29,styrofoam,Inorganic,0.6
27,2025-12-03 21:15:29,Plastic,Recyclable,0.52
28,2025-12-03 21:15:30,styrofoam,Inorganic,0.6
29,2025-12-03 21:15:30,styrofoam,Inorganic,0.63
30,2025-12-03 21:15:30,styrofoam,Inorganic,0.5
31,2025-12-03 21:15:30,styrofoam,Inorganic,0.53
32,2025-12-03 21:15:30,styrofoam,Inorganic,0.5
33,2025-12-03 21:15:30,styrofoam,Inorganic,0.69
34,2025-12-03 21:15:31,styrofoam,Inorganic,0.52
35,2025-12-03 21:15:31,styrofoam,Inorganic,0.6
36,2025-12-03 21:15:31,Plastic,Recyclable,0.5
37,2025-12-03 21:15:31,styrofoam,Inorganic,0.57
38,2025-12-03 21:15:31,Plastic,Recyclable,0.52
39,2025-12-03 21:15:33,Plastic,Recyclable,0.51
