epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,7019.65,1.29998,1.25908,1.40021,0.7314,0.54151,0.59478,0.39168,1.04896,0.74014,1.49442,0.0005941,0.0005941,0.0005941
43,7186.11,1.28783,1.24884,1.39418,0.6793,0.62666,0.6082,0.39595,1.0544,0.73315,1.49636,0.0005842,0.0005842,0.0005842
44,7352.54,1.28705,1.24196,1.39787,0.77204,0.57007,0.61391,0.39912,1.04897,0.72479,1.48935,0.0005743,0.0005743,0.0005743
45,7519.01,1.28909,1.22978,1.39264,0.66327,0.62476,0.60766,0.39822,1.05034,0.71992,1.48593,0.0005644,0.0005644,0.0005644
46,7685.4,1.28686,1.22703,1.39185,0.68237,0.53547,0.58744,0.38611,1.04504,0.72023,1.48031,0.0005545,0.0005545,0.0005545
47,7852.49,1.28454,1.22513,1.39108,0.67218,0.58706,0.60097,0.39964,1.04271,0.71556,1.47769,0.0005446,0.0005446,0.0005446
48,8019.22,1.27824,1.21934,1.39073,0.70631,0.58575,0.5952,0.39522,1.03601,0.70934,1.47167,0.0005347,0.0005347,0.0005347
49,8185.82,1.27407,1.20977,1.38417,0.75081,0.56424,0.59406,0.39114,1.02913,0.70623,1.46275,0.0005248,0.0005248,0.0005248
50,8352.53,1.27606,1.20002,1.38086,0.71395,0.59574,0.6113,0.40073,1.02774,0.70257,1.4637,0.0005149,0.0005149,0.0005149
51,8519.72,1.26925,1.19481,1.37709,0.71075,0.62175,0.60864,0.40263,1.02583,0.69659,1.46362,0.000505,0.000505,0.000505
52,8686.21,1.26868,1.18924,1.37934,0.64819,0.61791,0.60784,0.40482,1.02577,0.69524,1.46165,0.0004951,0.0004951,0.0004951
53,8853.27,1.26992,1.1873,1.37641,0.76588,0.57144,0.60361,0.40125,1.02378,0.69336,1.46192,0.0004852,0.0004852,0.0004852
54,9019.94,1.26978,1.19313,1.37832,0.77095,0.55694,0.59962,0.39622,1.01997,0.69021,1.46016,0.0004753,0.0004753,0.0004753
55,9186.84,1.26104,1.17064,1.37134,0.7605,0.56899,0.59966,0.39792,1.01698,0.68516,1.45496,0.0004654,0.0004654,0.0004654
56,9353.77,1.26419,1.16489,1.36982,0.76013,0.56597,0.60012,0.40009,1.01654,0.68349,1.45155,0.0004555,0.0004555,0.0004555
57,9521.05,1.2581,1.16258,1.3693,0.74877,0.56987,0.60504,0.402,1.01758,0.68152,1.4502,0.0004456,0.0004456,0.0004456
58,9687.76,1.2639,1.15536,1.36739,0.76299,0.57094,0.6014,0.40415,1.01572,0.682,1.4479,0.0004357,0.0004357,0.0004357
59,9854.91,1.25415,1.15284,1.36702,0.77959,0.57117,0.60057,0.40435,1.0177,0.68225,1.45199,0.0004258,0.0004258,0.0004258
60,10022,1.24556,1.13633,1.35687,0.78591,0.55749,0.59807,0.40277,1.01328,0.68031,1.44866,0.0004159,0.0004159,0.0004159
61,10189.2,1.24792,1.13761,1.35864,0.78933,0.55226,0.5972,0.4026,1.01019,0.67787,1.44654,0.000406,0.000406,0.000406
62,10355.3,1.24085,1.13019,1.35457,0.75346,0.57976,0.61648,0.41758,1.00915,0.67753,1.44581,0.0003961,0.0003961,0.0003961
63,10522.5,1.24024,1.1237,1.35729,0.76926,0.56443,0.61409,0.41721,1.00967,0.67595,1.44588,0.0003862,0.0003862,0.0003862
64,10689.1,1.24343,1.13007,1.35747,0.77298,0.5697,0.6195,0.41849,1.00731,0.67311,1.44364,0.0003763,0.0003763,0.0003763
65,10856.6,1.24221,1.12338,1.35407,0.77228,0.56871,0.62054,0.41655,1.00587,0.67184,1.44075,0.0003664,0.0003664,0.0003664
66,11023.7,1.23738,1.11662,1.35303,0.77052,0.56985,0.61962,0.41692,1.00662,0.67003,1.44058,0.0003565,0.0003565,0.0003565
67,11190.1,1.2288,1.10057,1.3466,0.76875,0.57523,0.62337,0.41983,1.00608,0.66874,1.43976,0.0003466,0.0003466,0.0003466
68,11357.6,1.23106,1.10769,1.34839,0.77535,0.57423,0.62397,0.42222,1.00385,0.66726,1.43773,0.0003367,0.0003367,0.0003367
69,11525.6,1.2329,1.10595,1.34743,0.77392,0.58456,0.62596,0.41924,1.00355,0.66527,1.43704,0.0003268,0.0003268,0.0003268
70,11693.9,1.22918,1.09762,1.34172,0.76761,0.58232,0.62589,0.4239,1.00321,0.66382,1.43625,0.0003169,0.0003169,0.0003169
71,11861.5,1.22782,1.09077,1.34501,0.75944,0.59053,0.62881,0.42734,1.00262,0.66224,1.43572,0.000307,0.000307,0.000307
72,12028.9,1.22471,1.07395,1.34066,0.76598,0.58161,0.63042,0.428,1.00154,0.66149,1.43496,0.0002971,0.0002971,0.0002971
73,12196.6,1.22369,1.09316,1.34146,0.7711,0.58054,0.63161,0.42971,1.0008,0.66096,1.43466,0.0002872,0.0002872,0.0002872
74,12364.6,1.21067,1.07398,1.33387,0.77711,0.5772,0.62887,0.429,1.00034,0.66089,1.43416,0.0002773,0.0002773,0.0002773
75,12532.1,1.2178,1.07067,1.33986,0.78372,0.57578,0.62802,0.42853,1.00048,0.66023,1.43417,0.0002674,0.0002674,0.0002674
76,12699.7,1.21623,1.06375,1.33435,0.78445,0.57908,0.62746,0.42814,1.00041,0.65937,1.43406,0.0002575,0.0002575,0.0002575
77,12867.7,1.21029,1.06239,1.3332,0.77833,0.58313,0.62757,0.42903,1.00021,0.65928,1.43385,0.0002476,0.0002476,0.0002476
78,13035.1,1.21443,1.06795,1.33354,0.7706,0.58311,0.62681,0.42982,0.99987,0.65825,1.43359,0.0002377,0.0002377,0.0002377
79,13202.7,1.21108,1.05842,1.33428,0.76607,0.58528,0.62706,0.42943,0.99863,0.65718,1.4328,0.0002278,0.0002278,0.0002278
80,13370.1,1.2126,1.05615,1.329,0.77063,0.58418,0.6284,0.43006,0.99813,0.65632,1.43224,0.0002179,0.0002179,0.0002179
81,13537.8,1.20535,1.05317,1.32475,0.77004,0.58615,0.62845,0.42964,0.99741,0.65527,1.4313,0.000208,0.000208,0.000208
82,13705.7,1.20564,1.04996,1.32742,0.77035,0.58849,0.63007,0.43147,0.99685,0.65471,1.43103,0.0001981,0.0001981,0.0001981
83,13872.5,1.20396,1.03921,1.32679,0.76784,0.58971,0.62839,0.43173,0.99624,0.65376,1.43029,0.0001882,0.0001882,0.0001882
84,14038.7,1.20858,1.05022,1.32871,0.76892,0.59063,0.62893,0.43153,0.99581,0.65414,1.42981,0.0001783,0.0001783,0.0001783
85,14205.7,1.19553,1.03325,1.31812,0.77068,0.59028,0.63049,0.43256,0.99621,0.6542,1.43027,0.0001684,0.0001684,0.0001684
86,14372,1.19559,1.03614,1.3189,0.77037,0.59061,0.63118,0.43331,0.99564,0.65372,1.42953,0.0001585,0.0001585,0.0001585
87,14538.7,1.19547,1.02559,1.32191,0.77135,0.59073,0.63156,0.43306,0.99498,0.65342,1.4288,0.0001486,0.0001486,0.0001486
88,14705.3,1.19495,1.02388,1.31682,0.76878,0.59,0.63079,0.43198,0.99449,0.6531,1.4285,0.0001387,0.0001387,0.0001387
89,14872.1,1.18641,1.01647,1.3136,0.76884,0.58977,0.62999,0.43185,0.9944,0.65342,1.42813,0.0001288,0.0001288,0.0001288
90,15039.7,1.18657,1.01645,1.31688,0.77351,0.58691,0.63238,0.43233,0.99415,0.65335,1.42791,0.0001189,0.0001189,0.0001189
91,15206.4,1.16105,0.85761,1.31024,0.77685,0.58549,0.63104,0.43279,0.99416,0.65364,1.42788,0.000109,0.000109,0.000109
92,15371.2,1.1454,0.82988,1.29623,0.78184,0.58735,0.63166,0.43307,0.99358,0.65327,1.42748,9.91e-05,9.91e-05,9.91e-05
93,15535,1.14057,0.80609,1.29123,0.7832,0.58656,0.63247,0.43278,0.99355,0.65333,1.42716,8.92e-05,8.92e-05,8.92e-05
94,15699.5,1.14288,0.80886,1.29103,0.78438,0.58621,0.63293,0.43226,0.9934,0.65258,1.42707,7.93e-05,7.93e-05,7.93e-05
95,15863.7,1.13351,0.80625,1.29239,0.78008,0.58695,0.63202,0.43282,0.99279,0.65189,1.42647,6.94e-05,6.94e-05,6.94e-05
96,16027.9,1.131,0.79744,1.28624,0.78566,0.58536,0.63172,0.43309,0.99261,0.65144,1.42615,5.95e-05,5.95e-05,5.95e-05
97,16192.3,1.127,0.79929,1.27997,0.77518,0.58842,0.63201,0.43286,0.99183,0.65118,1.42566,4.96e-05,4.96e-05,4.96e-05
98,16356.6,1.12679,0.78684,1.27845,0.7762,0.58772,0.63232,0.43338,0.99135,0.65095,1.42501,3.97e-05,3.97e-05,3.97e-05
99,16520,1.12993,0.78489,1.27981,0.77763,0.5873,0.63386,0.43432,0.99132,0.6509,1.42485,2.98e-05,2.98e-05,2.98e-05
100,16684.3,1.1224,0.78538,1.27825,0.7778,0.58633,0.63909,0.43769,0.99092,0.6507,1.42445,1.99e-05,1.99e-05,1.99e-05
