epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,8247.38,1.32719,1.35312,1.43094,0.72864,0.51219,0.59081,0.39572,1.01328,0.70014,1.46323,0.000643101,0.000643101,0.000643101
43,8441.6,1.31879,1.34473,1.42659,0.69578,0.53889,0.60397,0.40678,1.01842,0.69412,1.46889,0.000628101,0.000628101,0.000628101
44,8636.1,1.32076,1.33149,1.42269,0.65713,0.5679,0.59322,0.40016,1.01487,0.69064,1.46695,0.000612981,0.000612981,0.000612981
45,8830.42,1.30885,1.31703,1.42042,0.66499,0.57703,0.60393,0.40451,1.02477,0.69175,1.46749,0.000597754,0.000597754,0.000597754
46,9024.72,1.31064,1.30765,1.41561,0.75384,0.53649,0.60611,0.40237,1.02115,0.69186,1.46285,0.000582435,0.000582435,0.000582435
47,9220.56,1.31187,1.31329,1.41804,0.69509,0.55157,0.60125,0.40161,1.02116,0.68856,1.46,0.00056704,0.00056704,0.00056704
48,9415.48,1.3007,1.29027,1.40848,0.72333,0.54459,0.59782,0.4026,1.01498,0.68645,1.45472,0.000551584,0.000551584,0.000551584
49,9610.38,1.30164,1.29335,1.41199,0.72755,0.54963,0.59664,0.40526,1.01805,0.68122,1.45415,0.000536081,0.000536081,0.000536081
50,9804.92,1.29405,1.27893,1.40189,0.70651,0.55155,0.59209,0.40081,1.02544,0.68026,1.45955,0.000520548,0.000520548,0.000520548
51,9999.94,1.28523,1.25535,1.40365,0.68601,0.55473,0.59499,0.40379,1.02431,0.67487,1.45854,0.000505,0.000505,0.000505
52,10194.5,1.29782,1.26607,1.39768,0.71143,0.54856,0.59548,0.40337,1.02558,0.675,1.46167,0.000489452,0.000489452,0.000489452
53,10388.7,1.29104,1.26677,1.39811,0.70967,0.55526,0.59649,0.4053,1.02171,0.67087,1.45877,0.000473919,0.000473919,0.000473919
54,10583.7,1.29379,1.25951,1.40531,0.69585,0.56721,0.60016,0.40686,1.0129,0.66965,1.45131,0.000458416,0.000458416,0.000458416
55,10779.1,1.28352,1.23704,1.39347,0.70109,0.57836,0.60628,0.41198,1.01121,0.66413,1.44835,0.00044296,0.00044296,0.00044296
56,10974,1.277,1.22514,1.39184,0.72096,0.55067,0.60823,0.41048,1.00923,0.66062,1.445,0.000427565,0.000427565,0.000427565
57,11169.2,1.27929,1.22844,1.39162,0.72929,0.54805,0.61249,0.41471,1.01096,0.66043,1.44405,0.000412246,0.000412246,0.000412246
58,11364.3,1.27159,1.21526,1.38761,0.73679,0.54447,0.61221,0.41479,1.01044,0.66058,1.44201,0.000397019,0.000397019,0.000397019
59,11558.8,1.28053,1.22558,1.38981,0.72836,0.5501,0.61332,0.41842,1.0085,0.66125,1.44098,0.000381899,0.000381899,0.000381899
60,11753.7,1.26426,1.20677,1.38137,0.72703,0.55798,0.61497,0.41956,1.00686,0.65899,1.43833,0.000366899,0.000366899,0.000366899
61,11947.7,1.26421,1.19699,1.37907,0.73338,0.55839,0.6161,0.41762,1.00393,0.65723,1.4358,0.000352037,0.000352037,0.000352037
62,12142.9,1.26865,1.20261,1.38417,0.73679,0.55472,0.61725,0.41796,1.00122,0.65507,1.43506,0.000337325,0.000337325,0.000337325
63,12338,1.26465,1.19334,1.37683,0.72783,0.56119,0.616,0.41696,0.99847,0.65253,1.43272,0.000322778,0.000322778,0.000322778
64,12533.1,1.26171,1.18496,1.37469,0.72714,0.55942,0.61445,0.41559,0.99686,0.65255,1.43187,0.000308412,0.000308412,0.000308412
65,12727.7,1.26479,1.17639,1.37603,0.7167,0.56387,0.61686,0.41528,0.99545,0.65108,1.43168,0.000294239,0.000294239,0.000294239
66,12923,1.2536,1.1665,1.37233,0.71386,0.56433,0.619,0.4184,0.99533,0.65018,1.43039,0.000280275,0.000280275,0.000280275
