Model,Parameters (M),Epochs,Training Time (h),Time per Epoch (min),mAP@0.5,mAP@0.5:0.95,Precision,Recall,Est. FPS,Est. Latency (ms),Efficiency (mAP/M)
YOLOv8n,3.2,100,4.634527777777778,2.7807166666666667,0.63909,0.43769,0.7778,0.58633,119.90407673860915,8.339999999999998,0.199715625
YOLOv8s,11.2,68,5.1729722222222225,4.564387254901961,0.68498,0.46131,0.80639,0.59785,73.1528895391364,13.670000000000075,0.06115892857142858
YOLO11n,2.6,100,5.418388888888889,3.2510333333333334,0.62333,0.42182,0.71315,0.57587,102.55358424776922,9.751000000000023,0.2397423076923077
