Model,Architecture,Parameters (M),Final mAP@0.5,Final mAP@0.5:0.95,Final Precision,Final Recall,Final Box Loss,Final Cls Loss,Training Time (h),Est. FPS,Latency (ms),Efficiency (mAP/M)
YOLOv8n,Nano - Speed Optimized,3.2,0.63909,0.43769,0.7778,0.58633,1.1224,0.78538,4.634527777777778,119.90407673860915,8.339999999999998,0.199715625
YOLOv8s,Small - Balanced,11.2,0.68498,0.46131,0.80639,0.59785,1.21088,2.73853,5.1729722222222225,73.1528895391364,13.670000000000075,0.06115892857142858
YOLO11n,V11 Nano - New Architecture,2.6,0.62333,0.42182,0.71315,0.57587,1.13982,0.83239,5.418388888888889,102.55358424776922,9.751000000000023,0.2397423076923077
