epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,11515.5,1.30019,3.33924,1.39794,0.74376,0.63671,0.68575,0.45682,1.12128,2.03359,1.551,0.000643101,0.000643101,0.000643101
43,11788.6,1.29165,3.30342,1.39216,0.7283,0.6493,0.68971,0.46009,1.12298,2.01838,1.5525,0.000628101,0.000628101,0.000628101
44,12061.5,1.29313,3.27665,1.38692,0.7734,0.59531,0.6692,0.44295,1.11432,2.02291,1.54617,0.000612981,0.000612981,0.000612981
45,12334.6,1.27829,3.24005,1.38316,0.78993,0.59188,0.69108,0.45852,1.11173,2.00131,1.54027,0.000597754,0.000597754,0.000597754
46,12607.5,1.28439,3.18948,1.37774,0.80913,0.62127,0.69513,0.46781,1.11107,1.98541,1.54288,0.000582435,0.000582435,0.000582435
47,12880.5,1.28031,3.21674,1.38002,0.7593,0.59591,0.69732,0.46455,1.10479,1.98553,1.53551,0.00056704,0.00056704,0.00056704
48,13153.6,1.27181,3.13737,1.37144,0.74615,0.65882,0.70627,0.47371,1.10288,1.98143,1.53324,0.000551584,0.000551584,0.000551584
49,13426.7,1.27165,3.12924,1.37331,0.72594,0.63916,0.70355,0.46684,1.10651,1.97591,1.53187,0.000536081,0.000536081,0.000536081
50,13699.8,1.26089,3.08414,1.3611,0.70095,0.68427,0.7045,0.46594,1.09898,1.95738,1.52458,0.000520548,0.000520548,0.000520548
51,13972.4,1.25323,3.03745,1.36151,0.79518,0.59963,0.68544,0.45607,1.09139,1.94655,1.51482,0.000505,0.000505,0.000505
52,14245.4,1.26441,3.06339,1.3581,0.79725,0.59659,0.698,0.4634,1.09922,1.95257,1.51974,0.000489452,0.000489452,0.000489452
53,14518.8,1.25789,3.04871,1.35789,0.79516,0.59484,0.68488,0.4499,1.10068,1.9443,1.52013,0.000473919,0.000473919,0.000473919
54,14792.0,1.25878,3.02123,1.36096,0.78656,0.6195,0.70696,0.47018,1.09766,1.94648,1.51857,0.000458416,0.000458416,0.000458416
55,15065.0,1.24998,2.95982,1.35317,0.78566,0.61694,0.70076,0.47156,1.09434,1.95373,1.51759,0.00044296,0.00044296,0.00044296
56,15338.1,1.24231,2.9582,1.35188,0.79406,0.61193,0.68764,0.46392,1.08965,1.94994,1.51403,0.000427565,0.000427565,0.000427565
57,15611.3,1.24178,2.9444,1.34982,0.78054,0.61528,0.68497,0.46429,1.07934,1.93938,1.50602,0.000412246,0.000412246,0.000412246
58,15884.8,1.23851,2.91743,1.34746,0.80536,0.60385,0.67999,0.46293,1.07474,1.93469,1.49891,0.000397019,0.000397019,0.000397019
59,16157.7,1.24292,2.91169,1.34484,0.82229,0.59816,0.68236,0.4609,1.06906,1.93649,1.49507,0.000381899,0.000381899,0.000381899
60,16431.1,1.23366,2.86883,1.34132,0.78396,0.60536,0.68132,0.45609,1.06552,1.93298,1.49296,0.000366899,0.000366899,0.000366899
61,16704.5,1.23222,2.85811,1.33804,0.7998,0.60118,0.68539,0.45936,1.06294,1.92676,1.49003,0.000352037,0.000352037,0.000352037
62,16977.6,1.23179,2.86563,1.34042,0.80954,0.60027,0.68625,0.45728,1.06042,1.9177,1.48747,0.000337325,0.000337325,0.000337325
63,17250.7,1.22339,2.8429,1.33184,0.81916,0.6006,0.68549,0.45797,1.05947,1.91506,1.48668,0.000322778,0.000322778,0.000322778
64,17523.8,1.22308,2.82241,1.33064,0.81047,0.60283,0.6844,0.45762,1.05868,1.90997,1.48594,0.000308412,0.000308412,0.000308412
65,17797.5,1.22286,2.80444,1.33119,0.80734,0.60505,0.6803,0.46093,1.0594,1.91115,1.48577,0.000294239,0.000294239,0.000294239
66,18075.2,1.21869,2.77043,1.33042,0.8101,0.6046,0.68853,0.46474,1.05945,1.90788,1.48532,0.000280275,0.000280275,0.000280275
67,18349.0,1.21389,2.76943,1.32445,0.83757,0.60149,0.68372,0.46292,1.05945,1.90297,1.48464,0.000266532,0.000266532,0.000266532
68,18622.7,1.21088,2.73853,1.32472,0.80639,0.59785,0.68498,0.46131,1.05788,1.8952,1.48224,0.000253024,0.000253024,0.000253024
