ID,Timestamp,Class,Category,Confidence
1,2025-11-29 11:50:44,leaves,Organic,0.49
2,2025-11-29 11:50:44,leaves,Organic,0.73
3,2025-11-29 11:50:44,leaves,Organic,0.62
4,2025-11-29 11:50:44,leaves,Organic,0.58
5,2025-11-29 11:50:44,leaves,Organic,0.49
6,2025-11-29 11:50:44,bottle,Inorganic,0.42
7,2025-11-29 11:50:45,leaves,Organic,0.72
8,2025-11-29 11:50:45,leaves,Organic,0.76
9,2025-11-29 11:50:45,leaves,Organic,0.81
10,2025-11-29 11:50:45,bottle,Inorganic,0.45
11,2025-11-29 11:50:45,leaves,Organic,0.79
12,2025-11-29 11:50:45,bottle,Inorganic,0.39
13,2025-11-29 11:50:45,leaves,Organic,0.77
14,2025-11-29 11:50:45,leaves,Organic,0.8
15,2025-11-29 11:50:45,bottle,Inorganic,0.49
16,2025-11-29 11:50:45,leaves,Organic,0.8
17,2025-11-29 11:50:45,bottle,Inorganic,0.68
18,2025-11-29 11:50:46,bottle,Inorganic,0.63
19,2025-11-29 11:50:46,leaves,Organic,0.49
20,2025-11-29 11:50:46,leaves,Organic,0.61
21,2025-11-29 11:50:46,bottle,Inorganic,0.56
22,2025-11-29 11:50:46,bottle,Inorganic,0.59
23,2025-11-29 11:50:46,leaves,Organic,0.54
24,2025-11-29 11:50:46,leaves,Organic,0.76
25,2025-11-29 11:50:46,bottle,Inorganic,0.72
26,2025-11-29 11:50:46,bottle,Inorganic,0.8
27,2025-11-29 11:50:46,leaves,Organic,0.8
28,2025-11-29 11:50:46,leaves,Organic,0.83
29,2025-11-29 11:50:46,leaves,Organic,0.73
30,2025-11-29 11:50:46,bottle,Inorganic,0.59
31,2025-11-29 11:50:47,leaves,Organic,0.85
32,2025-11-29 11:50:47,bottle,Inorganic,0.66
33,2025-11-29 11:50:47,leaves,Organic,0.71
34,2025-11-29 11:50:47,bottle,Inorganic,0.7
35,2025-11-29 11:50:47,leaves,Organic,0.54
36,2025-11-29 11:50:47,bottle,Inorganic,0.52
37,2025-11-29 11:50:47,leaves,Organic,0.86
38,2025-11-29 11:50:47,bottle,Inorganic,0.49
39,2025-11-29 11:50:47,leaves,Organic,0.77
40,2025-11-29 11:50:47,bottle,Inorganic,0.54
41,2025-11-29 11:50:47,leaves,Organic,0.8
42,2025-11-29 11:50:47,bottle,Inorganic,0.51
43,2025-11-29 11:50:47,leaves,Organic,0.42
44,2025-11-29 11:50:47,leaves,Organic,0.74
45,2025-11-29 11:50:47,leaves,Organic,0.63
46,2025-11-29 11:50:47,bottle,Inorganic,0.47
47,2025-11-29 11:50:48,leaves,Organic,0.81
48,2025-11-29 11:50:48,leaves,Organic,0.75
49,2025-11-29 11:50:48,bottle,Inorganic,0.49
50,2025-11-29 11:50:48,leaves,Organic,0.8
51,2025-11-29 11:50:48,leaves,Organic,0.59
52,2025-11-29 11:50:48,bottle,Inorganic,0.48
53,2025-11-29 11:50:48,leaves,Organic,0.72
54,2025-11-29 11:50:48,leaves,Organic,0.54
55,2025-11-29 11:50:48,leaves,Organic,0.78
56,2025-11-29 11:50:48,bottle,Inorganic,0.55
57,2025-11-29 11:50:48,leaves,Organic,0.49
58,2025-11-29 11:50:48,leaves,Organic,0.7
59,2025-11-29 11:50:48,leaves,Organic,0.6
60,2025-11-29 11:50:48,bottle,Inorganic,0.48
61,2025-11-29 11:50:48,leaves,Organic,0.62
62,2025-11-29 11:50:48,bottle,Inorganic,0.49
63,2025-11-29 11:50:48,leaves,Organic,0.45
64,2025-11-29 11:50:48,leaves,Organic,0.63
65,2025-11-29 11:50:48,leaves,Organic,0.58
66,2025-11-29 11:50:49,leaves,Organic,0.66
67,2025-11-29 11:50:49,bottle,Inorganic,0.55
68,2025-11-29 11:50:49,leaves,Organic,0.45
69,2025-11-29 11:50:49,leaves,Organic,0.71
70,2025-11-29 11:50:49,bottle,Inorganic,0.47
71,2025-11-29 11:50:49,leaves,Organic,0.66
72,2025-11-29 11:50:49,leaves,Organic,0.55
73,2025-11-29 11:50:49,bottle,Inorganic,0.43
74,2025-11-29 11:50:49,leaves,Organic,0.73
75,2025-11-29 11:50:49,leaves,Organic,0.63
76,2025-11-29 11:50:49,bottle,Inorganic,0.6
77,2025-11-29 11:50:49,bottle,Inorganic,0.65
78,2025-11-29 11:50:49,leaves,Organic,0.56
79,2025-11-29 11:50:49,leaves,Organic,0.52
80,2025-11-29 11:50:49,bottle,Inorganic,0.75
81,2025-11-29 11:50:49,leaves,Organic,0.38
82,2025-11-29 11:50:49,leaves,Organic,0.85
83,2025-11-29 11:50:49,bottle,Inorganic,0.5
84,2025-11-29 11:50:50,bottle,Inorganic,0.47
85,2025-11-29 11:50:50,leaves,Organic,0.4
86,2025-11-29 11:50:50,leaves,Organic,0.64
87,2025-11-29 11:50:51,leaves,Organic,0.58
88,2025-11-29 11:50:51,leaves,Organic,0.58
89,2025-11-29 11:50:51,leaves,Organic,0.8
90,2025-11-29 11:50:52,leaves,Organic,0.75
91,2025-11-29 11:50:52,leaves,Organic,0.87
92,2025-11-29 11:50:52,leaves,Organic,0.56
93,2025-11-29 11:50:54,leaves,Organic,0.5
94,2025-11-29 11:50:54,leaves,Organic,0.78
95,2025-11-29 11:50:54,leaves,Organic,0.63
96,2025-11-29 11:50:55,leaves,Organic,0.4
97,2025-11-29 11:50:55,leaves,Organic,0.49
98,2025-11-29 11:50:55,leaves,Organic,0.72
99,2025-11-29 11:50:55,leaves,Organic,0.66
100,2025-11-29 11:50:56,leaves,Organic,0.39
