ID,Timestamp,Class,Category,Confidence
1,2025-11-29 12:56:41,banana_peel,Organic,0.68
2,2025-11-29 12:56:49,banana_peel,Organic,0.68
3,2025-11-29 12:57:35,bottle,Inorganic,0.69
4,2025-11-29 12:57:36,bottle,Inorganic,0.57
5,2025-11-29 12:57:36,bottle,Inorganic,0.62
6,2025-11-29 12:57:36,bottle,Inorganic,0.8
7,2025-11-29 12:57:36,bottle,Inorganic,0.82
8,2025-11-29 12:57:37,bottle,Inorganic,0.85
9,2025-11-29 12:57:37,bottle,Inorganic,0.82
10,2025-11-29 12:57:37,bottle,Inorganic,0.79
11,2025-11-29 12:57:37,bottle,Inorganic,0.73
12,2025-11-29 12:57:37,bottle,Inorganic,0.76
13,2025-11-29 12:57:37,bottle,Inorganic,0.81
14,2025-11-29 12:57:37,bottle,Inorganic,0.7
15,2025-11-29 12:57:37,bottle,Inorganic,0.62
16,2025-11-29 12:57:38,bottle,Inorganic,0.75
17,2025-11-29 12:57:38,bottle,Inorganic,0.77
18,2025-11-29 12:57:38,bottle,Inorganic,0.76
19,2025-11-29 12:57:38,bottle,Inorganic,0.83
20,2025-11-29 12:57:38,bottle,Inorganic,0.84
21,2025-11-29 12:57:38,bottle,Inorganic,0.82
22,2025-11-29 12:57:38,bottle,Inorganic,0.81
23,2025-11-29 12:57:39,bottle,Inorganic,0.72
24,2025-11-29 12:57:39,bottle,Inorganic,0.81
25,2025-11-29 12:57:39,bottle,Inorganic,0.6
26,2025-11-29 12:57:39,bottle,Inorganic,0.57
27,2025-11-29 12:57:39,bottle,Inorganic,0.64
28,2025-11-29 12:57:39,bottle,Inorganic,0.61
29,2025-11-29 12:57:39,bottle,Inorganic,0.57
30,2025-11-29 12:57:40,bottle,Inorganic,0.79
31,2025-11-29 12:57:40,bottle,Inorganic,0.77
32,2025-11-29 12:57:40,bottle,Inorganic,0.73
33,2025-11-29 12:57:40,bottle,Inorganic,0.74
34,2025-11-29 12:57:40,bottle,Inorganic,0.78
35,2025-11-29 12:57:40,bottle,Inorganic,0.78
36,2025-11-29 12:57:41,bottle,Inorganic,0.78
37,2025-11-29 12:57:41,bottle,Inorganic,0.8
38,2025-11-29 12:57:41,bottle,Inorganic,0.67
